Year,Number of awards
Universal,5
Miramax,4
Warner Bros,4
DreamWorks,3
Paramount,3
Fox Searchlight,3
Malpaso,2
20th Century Fox,2
Regency Enterprises,2
Orion,2
TIG Productions,1
"Summit Entertainment,",1
Studio 37,1
Storyline Entertainment,1
Smoke House Pictures,1
"See-Saw Films,",1
Scott Free Productions,1
Rocklin/Faust,1
River Road Entertainment,1
Tiger Moth Productions,1
Producer Circle Co,1
Plan B Pictures,1
Plan B Entertainment,2
Participant Media,1
Paramount Vantage,1
ApolloProScreen,1
La Classe Américaine,1
Open Road,1
JD Prod,1
New Line Cinema,1
New Regency,1
UK Film Council,1
Mike Zoss Productions,1
Initial Entertainment Group,1
Lionsgate,1
Lightstorm Entertainment,1
Lakeshore Entertainment,1
La Petite Reine,1
Icon,1
Kingsgate Films,1
Jouror Productions,1
Jinks/Cohen Co,1
France 3 Cinema,1
First Look Media,1
Imagine Entertainment,1
Bedlam Productions,1
Harris Company,1
GK Films,1
First Light Productions,1
Film4,1
Film4 Productions,1
BlackFriar's Bridge,1
Celador,1
Bedford Falls Company,1
U Film,1
Vertigo Entertainment,1
Anonymous Content,1
Amblin Entertainment,1
Voltage Pictures,1
WingNut Films,1
Wild Bunch,1
Momentum Pictures,1
ARP Sélection,1
Worldview Entertainment,1
A24,1
Pastel Productions,1
