Shows,Copies sold
Sorrisi e canzoni TV,439846
Settimanale Dipiu',377502
Telesette,326438
Venerdi' di Repubblica,252536
Oggi,235584
Io Donna,235410
Espresso,220529
Famiglia cristiana,215522
Dipiu' TV,195806
Gente,190742
D La Repubblica delle Donne,173123
Diva e Donna,157980
Sport Week,149843
Donna Moderna,141496
Intimita',140969
Guida TV nuova,130625
Chi,125039
F,113953
Grazia,113377
Vanity Fair,108632
Telepiu',101000
Grand Hotel,91536
TV Mia,90095
Elle,87253
Panorama,72569
Giallo,69105
Viversani e Belli,57739
Milano Finanza,53437
Dolomiten Magazin,53284
Confidenze,45490
Tu style,44613
Starbene,41834
Nuovo and Nuovo TV cucina,36270
Ci piace cucinare!,30885
Spy,22100
Autosprint,16508
Motosprint,11527
FF- Sudtiroler Magazin,8588
