Year,Gross domestic product in billion U.S. dollars
2024*,700.15
2023*,664.76
2022*,626.33
2021*,590.37
2020*,557.31
2019*,529.18
2018,504.93
2017,455.32
2016,412.41
2015,401.27
2014,407.34
2013,420.33
2012,397.56
2011,370.82
2010,341.11
2009,281.71
2008,291.38
2007,262.94
2006,221.76
2005,189.32
2004,172.9
2003,152.28
2002,134.3
2001,120.3
2000,126.39
1999,126.67
1998,113.68
1997,150.18
1996,183.04
1995,169.28
1994,146.68
1993,128.89
1992,115.58
1991,101.25
1990,88.47
1989,74.64
1988,63.7
1987,52.2
1986,44.52
1985,40.19
1984,43.18
