Year,Gross domestic product in billion U.S. dollars
2024*,39.97
2023*,38.09
2022*,36.42
2021*,35.0
2020*,34.08
2019*,33.02
2018*,40.95
2017,30.56
2016,18.54
2015,17.19
2014,24.26
2013,51.9
2012,79.76
2011,32.0
2010,68.97
2009,50.81
2008,73.92
2007,67.69
2006,54.96
2005,47.34
2004,33.0
2003,26.19
2002,20.47
2001,34.11
2000,38.27
1999,35.98
1998,29.96
1997,36.53
1996,35.68
1995,32.69
1994,28.8
1993,30.92
1992,34.36
1991,33.91
1990,30.64
1989,26.59
1988,25.07
1987,22.29
1986,23.99
1985,29.44
1984,29.93
