Month,Number of ranking points
Zhendong Fan (China),17001
Xin Xu (China),15385
Timo Boll (Germany),15205
Gaoyuan Lin (China),15189
Dimitrij Ovtcharov (Germany),14915
Tomokazu Harimoto (Japan),13584
Long Ma (China),13500
Sangsu Lee (Korea),13374
Hugo Calderano (Brazil),13355
Chun Ting Wong (Hong Kong),12969
Koki Niwa (Japan),12466
Jun Mizutani (Japan),11970
Simon Gauzy (France),11558
Chih-Yuan Chuang (Chinese Taipei),11520
Sangeun Jeong (Korea),10808
Marcos Freitas (Portugal),10744
Patrick Franziska (Germany),10722
Quadri Aruna (Nigeria),10684
Kenta Matsudaira (Japan),10620
Jonathan Groth (Denmark),10592
