Month,Units sold
Dec 19,1702
Nov 19,1186
Oct 19,835
Sep 19,1363
Aug 19,663
Jul 19,1040
Jun 19,1078
May 19,1212
Apr 19,980
Mar 19,1814
Feb 19,448
Jan 19,754
Dec 18,650
Nov 18,921
Oct 18,783
Sep 18,1010
Aug 18,586
Jul 18,813
Jun 18,871
May 18,811
Apr 18,829
Mar 18,1114
Feb 18,186
Jan 18,475
Dec 17,454
Nov 17,472
Oct 17,194
Sep 17,842
Aug 17,181
Jul 17,305
Jun 17,314
May 17,395
Apr 17,219
Mar 17,749
Feb 17,111
Jan 17,205
Dec 16,367
Nov 16,263
Oct 16,257
Sep 16,1005
Aug 16,99
Jul 16,305
Jun 16,336
May 16,296
Apr 16,272
Mar 16,576
Feb 16,103
Jan 16,313
Dec 15,283
Nov 15,249
Oct 15,159
Sep 15,511
Aug 15,43
Jul 15,237
Jun 15,234
May 15,269
Apr 15,308
Mar 15,661
Feb 15,63
Jan 15,135
Dec 14,128
Nov 14,170
Oct 14,188
Sep 14,357
Aug 14,76
Jul 14,203
Jun 14,196
May 14,241
Apr 14,221
Mar 14,361
Feb 14,47
Jan 14,138
