Nfl Players,Number of passing yards
Drew Brees (2001-2020),77416
Tom Brady (2000-2020),74571
Peyton Manning (1998-2015),71940
Brett Favre (1991-2010),71838
Dan Marino (1983-1999),61361
Philip Rivers (2004-2020),59271
Eli Manning (2004-2020),57023
Ben Roethlisberger (2004-2020),56545
John Elway (1983-1998),51475
Matt Ryan (2008-2020),51186
Warren Moon (1984-2000),49325
Fran Tarkenton (1961-1978),47003
Aaron Rodgers (2005-2020),46946
Carson Palmer (2004-2017),46247
Vinny Testaverde (1987-2007),46233
Drew Bledsoe (1993-2006),44611
Dan Fouts (1973-1987),43040
Matthew Staford (2009-2020),41025
Kerry Collins (1995-2011),40922
Joe Montana (1979-1994),40551
