TV shows,Share of audience*
BBC,31.57%
ITV,21.71%
Channel 4,10.23%
BSkyB,8.26%
Channel 5,6.53%
UK Channel Management Ltd.,5.39%
Discovery Corporate Services,2.3%
CBS AMC Networks,1.45%
Entertainment Networks,1.27%
CSC Media Group Ltd.,1.24%
NBC Universal,0.92%
Nickelodeon UK,0.9%
A+E Networks UK,0.72%
Turner BSE Ltd.,0.66%
Comedy Central,0.63%
BT Sport,0.63%
Walt Disney Co.,0.6%
Scripps Network International,0.47%
Box Television Ltd.,0.39%
MTV Networks Europe,0.37%
Indiacast UK Ltd.,0.14%
Asia TV Ltd.,0.07%
AATW Ltd.,0.07%
Others,3.48%
