Financial Quarter/Year,Net income in million U.S. dollars
Q3 '15,3979.0
Q2 '15,3931.0
Q1 '15,3515.0
Q4 '14,4675.0
Q3 '14,2739.0
Q2 '14,3351.0
Q1 '14,3371.0
Q4 '13,3324.0
Q3 '13*,2921.0
Q2 '13,3376.0
Q1 '13,2970.0
Q4 '12,2886.0
Q3 '12,2176.0
Q2 '12,2785.0
Q1 '12,2890.0
Q4 '11,2705.0
Q3 '11,2729.0
Q2 '11,2505.0
Q1 '11,1798.0
Q4 '10,2543.0
Q3 '10,2167.0
Q2 '10,1840.0
Q1 '10,1955.0
Q4 '09,1974.0
Q3 '09,1439.0
Q2 '09,1485.0
Q1 '09,1423.0
Q4 '08,382.4
Q3 '08,1289.9
Q2 '08,1247.5
Q1 '08,1307.1
Q4 '07,1206.4
Q3 '07,1070.0
Q2 '07,925.1
Q1 '07,1002.2
Q4 '06,1030.72
Q3 '06,733.36
Q2 '06,721.08
Q1 '06,592.29
Q4 '05,372.21
Q3 '05,381.18
Q2 '05,342.81
Q1 '05,369.19
Q4 '04,204.1
Q3 '04,51.98
Q2 '04,79.06
Q1 '04,63.97
Q4 '03,27.25
Q3 '03,20.43
Q2 '03,32.17
Q1 '03,25.8
