Year,Inflation rate compared to previous year
2024*,5%
2023*,4.48%
2022*,4.29%
2021*,3.97%
2020*,3.09%
2019*,1.73%
2018,2.27%
2017,2.82%
2016,3.63%
2015,4.06%
2014,5.77%
2013,5.74%
2012,4.52%
2011,9.88%
2010,2.5%
2009,3.35%
2008,14.01%
2007,6.66%
2006,4.3%
2005,5.4%
2004,4.44%
2003,3.34%
2002,0.92%
2001,1.6%
2000,4.6%
1999,2.16%
1998,7.67%
1997,4.71%
1996,12.43%
1995,10.19%
1994,7.88%
1993,8.53%
1992,12.96%
1991,21.44%
1990,17.12%
1989,15.17%
1988,16%
1987,14.58%
1986,273.35%
1985,"11,749.63%"
1984,"1,281.35%"
