Year,Gross domestic product in billion U.S. dollars
2024*,394.89
2023*,363.03
2022*,334.5
2021*,308.63
2020*,284.85
2019*,261.64
2018,241.27
2017,220.38
2016,201.33
2015,191.29
2014,185.76
2013,170.44
2012,155.48
2011,136.6
2010,112.77
2009,101.63
2008,98.27
2007,77.52
2006,66.39
2005,57.65
2004,49.52
2003,39.56
2002,35.1
2001,32.52
2000,31.18
1999,28.7
1998,27.23
1997,26.89
1996,24.69
1995,20.8
1994,16.31
1993,13.18
1992,9.87
1991,7.64
1990,6.47
1989,6.29
1988,23.23
1987,42.05
1986,33.87
1985,15.0
1984,48.18
