Year,GDP in billion U.S. dollars
2024*,2246.02
2023*,2182.54
2022*,2125.93
2021*,2070.11
2020*,2013.67
2019*,1988.64
2018,2075.86
2017,1950.7
2016,1869.95
2015,1833.2
2014,2155.15
2013,2131.16
2012,2073.97
2011,2278.38
2010,2129.02
2009,2190.7
2008,2402.06
2007,2206.11
2006,1944.26
2005,1855.66
2004,1800.2
2003,1572.35
2002,1270.43
2001,1163.11
2000,1144.88
1999,1250.17
1998,1267.95
1997,1240.4
1996,1309.29
1995,1171.4
1994,1088.65
1993,1055.48
1992,1312.57
1991,1236.94
1990,1171.0
1989,938.27
1988,902.14
1987,814.27
1986,648.77
1985,458.07
1984,443.57
