MLB Teams concession stands,Soft drink price in U.S. dollars
St. Louis Cardinals (21),6.25
Cincinnati Reds (24),6.25
Los Angeles Dodgers (20),6.0
New York Mets (20),5.75
San Diego Padres (20),5.5
Atlanta Braves (22),5.5
Chicago White Sox (24),5.5
Texas Rangers (20),5.5
San Francisco Giants (16),5.5
Chicago Cubs (20),5.25
Boston Red Sox (16),5.25
Seattle Mariners (16),5.25
Houston Astros (21),5.0
Tampa Bay Rays (22),5.0
Philadelphia Phillies (20),5.0
Milwaukee Brewers (24),5.0
Oakland Athletics (16),5.0
Detroit Tigers (16),4.75
MLB league average (19),4.6
Colorado Rockies (26),4.5
Kansas City Royals (16),4.0
Toronto Blue Jays (20),3.94
Cleveland Indians (12),3.75
Pittsburgh Pirates (16),3.5
Los Angeles Angels (16),3.5
New York Yankees (12),3.0
Washington Nationals (22),3.0
Miami Marlins (24),3.0
Minnesota Twins (16),2.0
Arizona Diamondbacks (12),2.0
Baltimore Orioles (12),1.5
