State,Graduation rate of the class of 2016
West Virginia,92%
Vermont,90%
Maine,89%
Alabama,88%
Texas,87.7%
Arkansas,85.7%
Missouri,84.4%
New Jersey,84.3%
Kentucky,84%
Tennessee,83.8%
Illinois,83.5%
Iowa,82.4%
Delaware,82%
Nebraska,81.6%
Florida,81.3%
Kansas,81.1%
Mississippi,81%
North Carolina,80.6%
South Carolina,80.5%
California,80.3%
Wisconsin,80.3%
Wyoming,80%
U.S. average,80%
Montana,80%
Hawaii,80%
Nevada,79.7%
Oklahoma,79.3%
Connecticut,77.7%
Utah,77.3%
Alaska,77%
Rhode Island,76%
North Dakota,76%
New Hampshire,76%
Indiana,75.8%
Idaho,74.8%
Arizona,74.5%
Massachusetts,74.4%
Maryland,74%
Pennsylvania,73.9%
Ohio,73.6%
Georgia,73.6%
Michigan,73.3%
Virginia,73%
Washington,72.7%
Oregon,72.5%
District of Columbia,72%
New York,71.2%
Colorado,71.1%
South Dakota,71%
New Mexico,70.5%
Louisiana,67%
Minnesota,66.3%
