Year,GDP per capita in U.S. dollars
2021*,2409.43
2020*,2427.5
2019*,2547.76
2018*,3410.85
2017*,4755.03
2016*,9092.02
2015*,10568.1
2014*,7029.89
2013*,7869.44
2012 *,11293.13
2011 *,11548.91
2010,10324.75
2009,8448.32
2008,10469.17
2007,8133.31
2006,6609.95
2005,5418.44
2004,4309.5
2003,3265.55
2002,3790.66
2001,4965.41
2000,4823.96
1999,4121.58
1998,3973.42
1997,3777.79
1996,3174.63
1995,2559.77
1994,2741.98
1993,2876.08
1992,2968.5
1991,2685.29
1990,2492.94
1989,2378.16
1988,3292.79
1987,2619.24
1986,3488.56
1985,3472.19
1984,3447.45
