Response,Share of respondents
"Culinary cocktails (e.g. savory, fresh ingredients, herb-infused)",68%
Locally produced spirits/wine/beer,67%
Craft/artisan spirits,66%
Onsite barrel-aged drinks,64%
Regional signature cocktails,59%
Food-beer pairings,58%
House-brewed beer,56%
Food-liquor/cocktail pairings,55%
"Non-traditional liquors (e.g. soju/sochu, cachaca, pisco)",54%
Organic beer/wine/spirits,50%
Wine on tap/draft wine,49%
Spicy cocktails,43%
Growlers/crowlers,38%
Anise-flavored cocktails,26%
Egg-whites in cocktails,22%
