Year,GDP per capita in U.S. dollars
2024,38586.47
2023,38056.96
2022,37642.59
2021,37386.47
2020,37375.27
2019,37749.88
2018,39709.01
2017,37251.94
2016,36226.23
2015,37380.57
2014,43340.02
2013,43197.43
2012,42723.58
2011,41194.73
2010,35064.26
2009,30920.45
2008,39074.84
2007,41472.29
2006,44313.59
2005,43988.67
2004,39304.51
2003,35017.31
2002,32790.71
2001,32621.29
2000,34688.98
1999,27321.04
1998,25897.65
1997,29523.49
1996,29058.86
1995,26394.42
1994,25762.53
1993,25654.37
1992,25960.97
1991,25847.41
1990,26621.51
1989,20478.53
1988,18435.2
1987,21644.07
1986,20533.02
1985,27036.0
1984,29017.09
