State,Minimum wage in U.S. dollars
Alaska,10.19
Arizona,12.0
Arkansas,10.0
California*,13.0
Colorado,12.0
Connecticut,11.0
Delaware,9.25
District of Columbia,14.0
Florida,8.56
Georgia**,5.15
Hawaii,10.1
Idaho,7.25
Illinois,9.25
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
Maine,12.0
Maryland,11.0
Massachusetts,12.75
Michigan,9.65
Minnesota***,10.0
Missouri,9.45
Montana****,8.65
Nebraska,9.0
Nevada*****,8.25
New Hampshire,7.25
New Jersey,11.0
New Mexico,9.0
New York******,11.8
North Carolina,7.25
North Dakota,7.25
Ohio*******,8.7
Oklahoma********,7.25
Oregon,11.25
Pennsylvania,7.25
Rhode Island,10.5
South Dakota,9.3
Texas,7.25
Utah,7.25
Vermont,10.96
Virginia,7.25
Washington,13.5
West Virginia,8.75
Wisconsin,7.25
Wyoming,5.15
