Year,Gross domestic product in billion U.S. dollars
2024*,4675.33
2023*,4491.38
2022*,4322.59
2021*,4158.66
2020*,3982.24
2019*,3863.34
2018,3951.34
2017,3664.51
2016,3468.19
2015,3362.24
2014,3890.1
2013,3753.69
2012,3545.95
2011,3761.14
2010,3423.47
2009,3426.67
2008,3770.15
2007,3444.72
2006,3004.95
2005,2866.05
2004,2822.21
2003,2510.04
2002,2085.57
2001,1951.98
2000,1955.28
1999,2202.79
1998,2246.31
1997,2221.4
1996,2504.54
1995,2593.84
1994,2210.83
1993,2069.69
1992,2127.85
1991,1868.52
1990,1592.59
1989,1252.64
1988,1261.83
1987,1170.42
1986,940.55
1985,658.54
1984,649.43
