Year,Gross domestic product in billion U.S. dollars
2024*,125.6
2023*,121.32
2022*,117.08
2021*,112.68
2020*,109.44
2019*,107.91
2018,108.4
2017,104.3
2016,99.94
2015,99.29
2014,101.73
2013,95.13
2012,87.93
2011,79.28
2010,69.56
2009,62.52
2008,61.76
2007,51.01
2006,46.8
2005,41.51
2004,36.59
2003,32.43
2002,28.55
2001,24.47
2000,18.32
1999,19.74
1998,27.47
1997,27.01
1996,24.04
1995,22.97
1994,21.15
1993,17.54
1992,15.01
1991,13.73
1990,12.24
1989,12.05
1988,12.28
1987,12.91
1986,13.82
1985,18.83
1984,16.1
