Company (country),Refining capacity in thousand barrels per day
ExxonMobil (U.S.),5589
Royal Dutch Shell (Netherlands),4109
Sinopec (China),3971
BP PLC (U.K.),2859
Saudi Arabian Oil Company (Saudi Arabia),2852
Valero Energy Corporation (U.S.),2777
Petróleos de Venezuela S.A. (Venezuela),2678
China National Petroleum Company (China),2675
Chevron Corp. (U.S.),2675
Phillips 66 (U.S.),2514
Total S.A. (France),2304
Petróleo Brasileiro S.A. (Brazil),1997
Marathon Oil Corp. (U.S.),1714
Petróleos Mexicanos (Mexico),1703
National Iranian Oil Company (Iran),1451
JX Nippon Oil & Energy Corp. (Japan),1423
Rosneft (Russia),1293
OAO Lukoil (Russia),1217
SK Innovation (Korea),1115
Repsol YPF S.A. (Spain),1105
