State,Number of households in millions
District of Columbia,22
Mississippi,21
Tennessee,20
New Mexico,20
Michigan,20
Oregon,20
Louisiana,19
Maine,19
Alabama,19
Kentucky,19
West Virginia,19
Georgia,18
South Carolina,18
Arkansas,17
Florida,16
North Carolina,16
Missouri,16
Arizona,16
Oklahoma,16
Washington,15
Texas,15
Vermont,15
New York,15
Rhode Island,15
Delaware,15
Ohio,15
Wisconsin,14
Idaho,14
Illinois,14
Pennsylvania,13
Indiana,13
Nevada,12
Montana,12
South Dakota,12
Iowa,12
Alaska,12
Hawaii,12
Massachusetts,12
Connecticut,11
Virginia,11
Maryland,11
Kansas,10
California,10
Utah,10
North Dakota,9
New Hampshire,9
Colorado,9
New Jersey,9
Minnesota,9
Nebraska,9
Wyoming,6
