Month,Units sold
Dec 19,2357
Nov 19,1963
Oct 19,1287
Sep 19,4300
Aug 19,1031
Jul 19,1445
Jun 19,2935
May 19,2647
Apr 19,2060
Mar 19,7443
Feb 19,1008
Jan 19,2475
Dec 18,1890
Nov 18,2237
Oct 18,1778
Sep 18,2470
Aug 18,811
Jul 18,1366
Jun 18,2000
May 18,2516
Apr 18,1919
Mar 18,4013
Feb 18,1048
Jan 18,2121
Dec 17,983
Nov 17,1466
Oct 17,1625
Sep 17,4459
Aug 17,769
Jul 17,1460
Jun 17,2845
May 17,1939
Apr 17,1397
Mar 17,5773
Feb 17,439
Jan 17,1994
Dec 16,1891
Nov 16,1405
Oct 16,2280
Sep 16,5247
Aug 16,845
Jul 16,1386
