Year,Gross domestic product in billion U.S. dollars
2024*,330.94
2023*,317.53
2022*,305.24
2021*,292.81
2020*,280.71
2019*,269.65
2018,274.21
2017,252.87
2016,239.11
2015,232.97
2014,273.04
2013,270.07
2012,256.85
2011,273.93
2010,248.26
2009,252.14
2008,285.09
2007,255.74
2006,216.73
2005,204.77
2004,196.98
2003,171.37
2002,139.98
2001,129.34
2000,125.88
1999,135.4
1998,134.11
1997,127.0
1996,132.15
1995,134.35
1994,103.76
1993,89.32
1992,113.23
1991,128.29
1990,141.8
1989,119.11
1988,109.26
1987,91.78
1986,73.65
1985,56.22
1984,53.03
