Cause Of Death,Number of deaths
Diseases of the circulatory system,30295
Neoplasms,23502
Diseases of the respiratory system,6997
Mental and behavioural disorders,6826
Diseases of the nervous system,5702
External causes of morbidity and mortality (injuries and poisonings),5202
Diseases of the digestive system,2867
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2865
"Endocrine, nutritional and metabolic diseases",2848
Certain infectious and parasitic diseases,2262
Diseases of the genitourinary system,1502
Diseases of the musculoskeletal system and connective tissue,462
"Congenital malformations, deformations and chromosomal abnormalities",294
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287
Diseases of the skin and subcutaneous tissue,209
Certain conditions originating in the perinatal period,128
"Pregnancy, childbirth and the puerperium",5
Diseases of the ear and mastoid process,1
