Tallest Skyscrapers,Height in meters
"Burj Khalifa (Dubai, UAE)",828
Shanghai Tower (Shanghai),632
"Makkah Clock Royal Tower (Mecca, Saudi Arabia)",601
Ping An International Finance Center(Shenzhen),599
"Lotte World Tower (Seoul, South Korea)",554
"One World Trade Center (New York, U.S.)",541
"CTF Finance Center (Guangzhou, China)",530
"Tianjin CTF Finance Centre (Tianjin, China)",530
"CITIC Tower (Beijing, China)",528
"Taipei 101 (Taipei, Taiwan)",509
"Shanghai World Finance Center (Shanghai, China)",492
"The Exchange 106 (Kuala Lumpur, Malaysia)",492
International Commerce Centre (Hong Kong),484
"Lakhta Center (St. Petersburg, Russia)",462
"Vincom Landmark 81 (Ho Chi Minh City, Vietnam)",461
"The Wharf IFS Tower 1 (Changsha, China)",452
"Suzhou IFS (Suzhou, China)",452
"Petronas Tower 2 (Kuala Lumpur, Malaysia)",452
"Petronas Tower 1 (Kuala Lumpur, Malaysia)",452
"Zifeng Tower (Nanjing, China)",450
