Month,Market share
Dec 19,3.84%
Nov 19,3.51%
Oct 19,3.55%
Sep 19,3.18%
Aug 19,3.9%
Jul 19,3.6%
Jun 19,3.27%
May 19,3.33%
Apr 19,3.52%
Mar 19,3.56%
Feb 19,3.99%
Jan 19,3.51%
Dec 18,3.31%
Nov 18,3.32%
Oct 18,3.53%
Sep 18,3.27%
Aug 18,4.21%
Jul 18,3.39%
Jun 18,3.31%
May 18,3.29%
Apr 18,3.71%
Mar 18,3.44%
Feb 18,3.79%
Jan 18,3.22%
Dec 17,2.71%
Nov 17,3.1%
Oct 17,3.29%
Sep 17,3.01%
Aug 17,3.4%
Jul 17,3%
Jun 17,3.16%
May 17,3.25%
Apr 17,3.55%
Mar 17,3.41%
Feb 17,3.94%
Jan 17,3.41%
Dec 16,3.23%
Nov 16,3.19%
Oct 16,3.29%
Sep 16,3.43%
Aug 16,3.88%
Jul 16,3.87%
