Year,Gross domestic product in billion U.S. dollars
2024*,469.04
2023*,455.73
2022*,443.84
2021*,432.97
2020*,422.06
2019*,417.63
2018,434.17
2017,398.39
2016,368.83
2015,385.8
2014,498.41
2013,523.5
2012,510.23
2011,498.83
2010,429.13
2009,386.62
2008,462.55
2007,401.09
2006,345.42
2005,308.72
2004,264.36
2003,228.75
2002,195.42
2001,174.0
2000,171.32
1999,162.29
1998,154.17
1997,161.35
1996,163.52
1995,152.03
1994,127.13
1993,120.58
1992,130.84
1991,121.87
1990,119.79
1989,102.63
1988,101.9
1987,94.23
1986,78.69
1985,65.42
1984,62.06
