Year,Inflation rate compared to previous year
2024*,5.5%
2023*,5.5%
2022*,5.5%
2021*,5.96%
2020*,7.62%
2019*,5.57%
2018,3.91%
2017,15.11%
2016,19.85%
2015,3.55%
2014,2.56%
2013,4.26%
2012,2.6%
2011,11.17%
2010,12.43%
2009,3.79%
2008,14.5%
2007,8.16%
2006,13.25%
2005,6.43%
2004,12.63%
2003,13.46%
2002,16.77%
2001,9.06%
2000,12.71%
1999,2.87%
1998,1.49%
1997,7.36%
1996,48.49%
1995,47.67%
1994,63.12%
1993,42.26%
1992,45.08%
1991,33.26%
1990,43.72%
1989,42.08%
1988,58.51%
1987,164.12%
1986,40.49%
1985,30.79%
1984,30.04%
