Year,GDP in billion U.S. dollars
2024*,257.24
2023*,248.41
2022*,240.41
2021*,231.76
2020*,222.79
2019*,214.01
2018,218.23
2017,203.49
2016,195.3
2015,196.69
2014,237.41
2013,239.94
2012,245.81
2011,288.06
2010,299.92
2009,330.84
2008,356.14
2007,318.94
2006,273.55
2005,248.18
2004,240.77
2003,202.27
2002,154.31
2001,136.28
2000,132.2
1999,149.41
1998,144.64
1997,143.33
1996,145.87
1995,136.94
1994,116.68
1993,109.02
1992,116.47
1991,105.63
1990,97.96
1989,79.25
1988,74.45
1987,65.68
1986,56.42
1985,47.94
1984,48.33
