Response,Percentage of respondents
It was too expensive / I could not afford it,40%
I wasn't using my membership / wasn't going,30%
I moved / the location was no longer convenient,20%
I could exercise somewhere else for free,19%
It was too crowded,17%
I developed an injury / surgery / other condition,11%
I felt out of place,9%
I lost my job,8%
I did not like to exercise,7%
I didn't reach my fitness goals,5%
It was too intimidating,4%
There was no one there to guide me,4%
I didn't know what to do there,4%
I wanted to participate in another type of exercise,3%
I met my fitness goals,2%
Nobody I knew went to my former health club,2%
Other,1%
