Year,GDP in billion U.S. dollars
2024*,1670.17
2023*,1591.78
2022*,1513.75
2021*,1440.46
2020*,1375.45
2019*,1376.26
2018,1420.05
2017,1386.77
2016,1267.75
2015,1235.13
2014,1457.49
2013,1518.34
2012,1569.11
2011,1513.99
2010,1251.72
2009,998.94
2008,1055.57
2007,947.94
2006,781.14
2005,734.28
2004,656.52
2003,539.74
2002,424.36
2001,376.71
2000,399.13
1999,411.05
1998,380.6
1997,425.55
1996,423.55
1995,378.12
1994,352.57
1993,308.74
1992,317.47
1991,323.79
1990,323.38
1989,307.7
1988,270.58
1987,212.7
1986,181.14
1985,174.06
1984,196.77
