State,Number of registered weapons
Texas,725368
Florida,432581
California,376666
Virginia,356963
Pennsylvania,271427
Georgia,225993
Arizona,204817
North Carolina,181209
Ohio,175819
Alabama,168265
Illinois,147698
Wyoming,134050
Indiana,133594
Maryland,128289
Tennessee,121140
Washington,119829
Louisiana,116398
Colorado,112691
Arkansas,108801
New Mexico,105836
South Carolina,99283
Minnesota,98585
Nevada,96822
Kentucky,93719
Utah,93440
New Jersey,90217
Missouri,88270
Michigan,83355
Oklahoma,83112
New York,82917
Wisconsin,79639
Connecticut,74877
Oregon,74722
District of Columbia,59832
New Hampshire,59341
Idaho,58797
Kansas,54409
Mississippi,52346
West Virginia,41651
Massachusetts,39886
Iowa,36540
South Dakota,31134
Nebraska,29753
Montana,23476
Alaska,20520
North Dakota,19720
Maine,17410
Hawaii,8665
Vermont,7716
Delaware,5281
Rhode Island,4655
*Other US Territories,866
