City Name,Per capita income in U.S. dollars
"San Francisco city, California",71606
"Seattle city, Washington",60625
"Washington city, District of Columbia",55328
"San Jose city, California",48264
"Denver city, Colorado",44556
"Austin city, Texas",43923
"Boston city, Massachusetts",43367
"Portland city, Oregon",42814
"San Diego city, California",40760
"New York city, New York",39589
"Charlotte city, North Carolina",37913
"Chicago city, Illinois",37160
"Nashville-Davidson metropolitan government (balance), Tennessee",35834
"Los Angeles city, California",35089
"Dallas city, Texas",34016
"Houston city, Texas",31162
"Jacksonville city, Florida",30632
"Phoenix city, Arizona",29310
"Fort Worth city, Texas",29010
"Columbus city, Ohio",28989
"Philadelphia city, Pennsylvania",28379
"Indianapolis city (balance), Indiana",27860
"San Antonio city, Texas",24684
"El Paso city, Texas",22777
"Detroit city, Michigan",18427
