Year,Inflation rate compared to previous year
2024*,3%
2023*,3%
2022*,3%
2021*,3%
2020*,3.14%
2019*,3.77%
2018,4.9%
2017,6.04%
2016,2.82%
2015,2.72%
2014,4.02%
2013,3.81%
2012,4.11%
2011,3.4%
2010,4.16%
2009,5.3%
2008,5.13%
2007,3.97%
2006,3.63%
2005,3.99%
2004,4.69%
2003,4.55%
2002,5.04%
2001,6.37%
2000,9.49%
1999,16.57%
1998,15.92%
1997,20.6%
1996,34.35%
1995,35.06%
1994,6.99%
1993,9.76%
1992,15.52%
1991,22.61%
1990,26.65%
1989,19.92%
1988,113.5%
1987,131.97%
1986,86.46%
1985,57.79%
1984,65.44%
