Year,Gross domestic product in billion U.S. dollars
2024*,1579.38
2023*,1508.49
2022*,1442.3
2021*,1380.72
2020*,1322.49
2019*,1274.18
2018,1222.05
2017,1156.95
2016,1077.91
2015,1170.57
2014,1314.57
2013,1274.44
2012,1201.09
2011,1180.49
2010,1057.8
2009,900.05
2008,1109.99
2007,1052.7
2006,975.38
2005,877.48
2004,782.24
2003,729.34
2002,772.11
2001,756.69
2000,707.91
1999,600.23
1998,526.52
1997,500.42
1996,410.97
1995,360.1
1994,527.81
1993,500.8
1992,403.73
1991,348.14
1990,290.4
1989,246.08
1988,201.93
1987,165.06
1986,150.51
1985,217.39
1984,204.86
