Year,Inflation rate compared to previous year
2024*,2%
2023*,2%
2022*,2%
2021*,1.95%
2020*,1.89%
2019*,2.19%
2018,1.32%
2017,2.8%
2016,3.59%
2015,3.55%
2014,3.25%
2013,2.81%
2012,3.66%
2011,3.37%
2010,1.53%
2009,2.94%
2008,5.79%
2007,1.78%
2006,2%
2005,1.62%
2004,3.66%
2003,2.26%
2002,0.19%
2001,1.98%
2000,3.76%
1999,3.47%
1998,7.26%
1997,8.55%
1996,11.55%
1995,11.13%
1994,23.74%
1993,48.58%
1992,73.53%
1991,409.53%
1990,"7,481.69%"
1989,"3,398.27%"
1988,666.96%
1987,85.85%
1986,77.92%
1985,163.4%
1984,110.21%
