Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",418.87
Professional and business services,200.09
Government and government enterprises,151.94
Information,143.64
"Educational services, health care, and social assistance",141.49
Wholesale trade,70.45
Retail trade,69.22
Manufacturing,65.79
"Arts, entertainment, recreation, accommodation, and food services",61.7
Construction,39.87
Transportation and warehousing,28.29
Utilities,20.17
"Agriculture, forestry, fishing, and hunting",3.3
"Mining, quarrying, and oil and gas extraction",1.2
