Year,Inflation rate compared to previous year
2024*,1.7%
2023*,1.5%
2022*,1.4%
2021*,1.33%
2020*,1.24%
2019*,0.9%
2018,1.17%
2017,1.56%
2016,0.64%
2015,0.51%
2014,-0.16%
2013,0.44%
2012,2.78%
2011,3.55%
2010,1.36%
2009,-0.9%
2008,2.65%
2007,2.42%
2006,3.05%
2005,2.13%
2004,2.51%
2003,2.34%
2002,3.7%
2001,4.41%
2000,2.81%
1999,2.17%
1998,2.22%
1997,1.89%
1996,2.94%
1995,3.97%
1994,4.97%
1993,5.93%
1992,8.86%
1991,11.43%
1990,13.37%
1989,12.61%
1988,9.58%
1987,9.4%
1986,11.67%
1985,19.34%
1984,29.3%
