Year,Gross domestic product in billion U.S. dollars
2024*,123.45
2023*,114.46
2022*,106.38
2021*,98.98
2020*,92.11
2019*,86.57
2018,88.9
2017,88.01
2016,82.39
2015,80.56
2014,79.31
2013,74.28
2012,68.42
2011,65.27
2010,56.71
2009,48.11
2008,46.6
2007,37.04
2006,32.36
2005,27.95
2004,23.66
2003,21.62
2002,19.59
2001,18.61
2000,19.37
1999,18.53
1998,18.43
1997,17.89
1996,16.05
1995,14.64
1994,13.78
1993,11.95
1992,11.18
1991,10.37
1990,9.47
1989,8.27
1988,8.24
1987,7.88
1986,7.57
1985,7.06
1984,7.14
