NBA Teams,Payroll in million U.S. dollars
Oklahoma City Thunder,162
Golden State Warriors,156
Toronto Raptors,146
Houston Rockets,146
Miami Heat,144
Portland Trail Blazers,143
San Antonio Spurs,142
Washington Wizards,142
Boston Celtics,139
Detroit Pistons,138
Cleveland Cavaliers,137
Memphis Grizzlies,136
Brooklyn Nets (New Jersey Nets),135
New York Knicks,134
Minnesota Timberwolves,132
Denver Nuggets,131
Utah Jazz,129
Los Angeles Clippers,128
Charlotte Hornets,127
New Orleans Pelicans,127
Milwaukee Bucks,126
Los Angeles Lakers,120
Orlando Magic,120
Indiana Pacers,119
Philadelphia 76ers,117
Chicago Bulls,115
Phoenix Suns,115
Dallas Mavericks,108
Sacramento Kings,107
Atlanta Hawks,95
