Month,Number of players in thousands
Jan '20,214.8
Dec '19,204.14
Nov '19,138.54
Oct '19,117.0
Sept '19,135.07
Aug '19,176.21
Jul '19,197.56
Jun '19,109.16
May '19,108.56
Apr '19,91.59
Mar '19,126.52
Feb '19,119.44
Jan '19,118.21
Dec '18,120.69
Nov '18,81.36
Oct '18,81.34
Sept '18,97.92
Aug '18,123.56
Jul '18,162.02
Jun '18,118.33
May '18,82.96
Aprl '18,89.79
Mar '18,94.49
Feb '18,94.31
Jan '18,167.75
Dec '17,170.32
Nov '17,85.11
Oct '17,84.55
Sept '17,101.43
Aug '17,121.83
Jul '17,112.07
Jun '17,131.94
May '17,83.48
Apr '17,96.5
Mar '17,98.8
Feb '17,104.9
Jan '17,116.13
Dec '16,126.68
Nov '16,86.76
Oct '16,86.19
Sept '16,61.92
Aug '16,63.87
Jul '16,71.78
Jun '16,78.33
May '16,48.05
Apr '16,65.88
Mar '16,64.63
Feb '16,72.74
Jan '16,93.73
