Year,Gross domestic product in billion U.S. dollars
2024*,746.02
2023*,707.26
2022*,670.15
2021*,635.05
2020*,603.03
2019*,586.1
2018,589.91
2017,574.9
2016,531.36
2015,525.6
2014,530.52
2013,511.6
2012,495.92
2011,485.67
2010,446.14
2009,392.11
2008,417.04
2007,408.22
2006,388.55
2005,375.79
2004,348.52
2003,318.6
2002,308.88
2001,300.42
2000,331.41
1999,304.17
1998,280.41
1997,303.71
1996,292.69
1995,279.27
1994,256.44
1993,235.17
1992,223.12
1991,187.35
1990,166.85
1989,152.73
1988,126.46
1987,105.04
1986,78.23
1985,63.64
1984,61.09
