Year,GDP in billion U.S. dollars
2024*,434.42
2023*,416.43
2022*,399.7
2021*,383.9
2020*,369.85
2019*,358.84
2018,368.14
2017,349.43
2016,296.27
2015,317.58
2014,350.9
2013,366.82
2012,396.33
2011,416.88
2010,375.3
2009,297.22
2008,287.1
2007,299.03
2006,271.81
2005,257.67
2004,228.93
2003,175.25
2002,115.75
2001,121.6
2000,136.45
1999,136.55
1998,137.69
1997,152.61
1996,147.7
1995,155.46
1994,139.8
1993,134.35
1992,134.56
1991,123.96
1990,115.53
1989,99.04
1988,95.21
1987,88.57
1986,67.56
1985,59.1
1984,77.32
