Type Of Decease,Number of deaths
Malignant neoplasm*,4729
"Malignant neoplasm of larynx, trachea, bronchus and lung",3758
"Bronchitis, emphysema and asthma",3741
Mental disorders,3578
Ischaemic heart disease,3557
Other forms of heart disease,3275
Cerebrovascular disease,3195
Symptoms and other ill-defined conditions,2836
Other diseases of the nervous system and sense organs,2449
Pneumonia,1806
"Malignant neoplasm of intestine, except rectum",1415
Diabetes mellitus,1342
Malignant neoplasm of prostate,1230
Malignant neoplasm of breast,1113
Leukaemia and other neopl. of lymph. and haemato tissue,1071
Hypertensive disease,1035
Senility without mention of psychosis,1007
Infective and parasitic diseases (except tuberculosis),990
"Cirrhosis of liver, cholelithiasis and cholecystitis",926
Other diseases of digestive system,890
