Quarter,Household debt to GDP ratio
Q2 2019,75.96%
Q1 2019,75.99%
Q4 2018,76.69%
Q3 2018,76.6%
Q2 2018,76.6%
Q1 2018,77.28%
Q4 2017,78.03%
Q3 2017,78.19%
Q2 2017,78.5%
Q1 2017,78.32%
Q4 2016,78.85%
Q3 2016,79.08%
Q2 2016,78.79%
Q1 2016,78.91%
Q4 2015,79.23%
Q3 2015,79.11%
Q2 2015,79.29%
Q1 2015,79.54%
Q4 2014,80.26%
Q3 2014,80.43%
Q2 2014,81.13%
Q1 2014,81.92%
Q4 2013,81.86%
Q3 2013,82.69%
Q2 2013,83.02%
Q1 2013,83.26%
Q4 2012,84.47%
Q3 2012,84.28%
Q2 2012,84.98%
Q1 2012,85.61%
Q4 2011,86.03%
Q3 2011,87.06%
Q2 2011,88.29%
Q1 2011,90.14%
