Month,Number of players in thousands
Jan '20,817.23
Dec '19,767.06
Nov '19,758.41
Oct '19,747.94
Sept '19,720.05
Aug '19,647.46
Jul' 19,578.93
Jun '19,587.72
May '19,588.45
Apr '19,621.61
Mar '19,680.07
Feb '19,654.07
Jan '19,684.51
Dec '18,746.55
Nov '18,546.03
Oct '18,565.97
Sept '18,583.03
Aug '18,454.37
Jul '18,426.01
Jun '18,420.26
May '18,454.48
Aprl '18,523.26
Mar '18,672.5
Feb '18,686.59
Jan '18,715.85
Dec '17,598.41
Nov '17,601.88
Oct '17,639.97
Sept '17,665.37
Aug '17,595.78
Jul '17,624.79
Jun '17,614.62
May '17,692.97
Apr '17,709.84
Mar '17,742.36
Feb '17,744.47
Jan '17,814.62
Dec '16,662.46
Nov '16,627.12
Oct '16,661.99
Sept '16,638.36
Aug '16,599.1
Jul '16,636.06
Jun '16,579.11
May '16,668.61
Apr '16,850.49
Mar '16,737.6
Feb '16,738.97
Jan '16,667.43
