State,GDP in billion current U.S. dollars
California,2968.12
Texas,1775.8
New York,1676.35
Florida,1036.32
Illinois,864.59
Pennsylvania,788.54
Ohio,676.19
New Jersey,624.85
Georgia,588.17
Massachusetts,567.25
North Carolina,565.8
Washington,563.15
Virginia,534.45
Michigan,528.01
Maryland,412.92
Colorado,368.8
Minnesota,368.32
Indiana,366.71
Tennessee,365.6
Arizona,346.79
Wisconsin,336.97
Missouri,317.75
Connecticut,274.18
Louisiana,252.12
Oregon,238.68
South Carolina,230.35
Alabama,221.13
Kentucky,208.34
Oklahoma,199.98
Iowa,190.15
Utah,177.34
Kansas,167.04
Nevada,165.8
District of Columbia,140.28
Arkansas,128.08
Nebraska,122.97
Mississippi,114.11
New Mexico,99.43
Hawaii,92.03
New Hampshire,84.71
West Virginia,77.48
Idaho,77.0
Delaware,74.97
Maine,64.35
Rhode Island,61.02
North Dakota,54.71
Alaska,54.01
South Dakota,51.58
Montana,48.97
Wyoming,39.37
Vermont,33.73
