Cruise line (ship name) / planned delivery,Passenger capacity
Royal Caribbean (Oasis III) Aug 2016,5400
MSC (unnamed) Sep 2017,4500
NCL (Norwegian Escape) Oct 2015,4200
Norwegian (Norwegian Bliss) Mar 2017,4200
Royal Caribbean (Ovation of the Seas) Aug 2016,4180
MSC (Seaside) Nov 2017,4140
Royal Caribbean (Anthem of the Seas) Jun 2015,4100
Carnival (Vista) Oct 2016,4000
P&O Cruises (P&O Britannia) Feb 2015,3611
Princess (unnamed) Jul 2016,3560
AIDA Cruises (AIDAprima) Oct 2015,3250
AIDA Cruises (unnamed) Mar 2016,3250
Holland America (Koningsdam) Feb 2016,2660
Tui Cruises (Mein Schiff 4) May 2015,2500
Clive Palmer (Titanic II) Nov 2016,1680
Viking Ocean Cruises (Viking Sea) Oct 2016,928
Viking Ocean Cruises (Viking Star) May 2015,928
Viking Ocean Cruises (Viking Sky) Mar 2016,928
Viking Ocean Cruises (unnamed) Mar 2017,928
Regent Seven Seas (Explorer) Aug 2016,738
Compagnie du Ponant (Le Lyrial) May 2015,264
Seabourn Cruise Line (unnamed) Oct 2016,225
