MLB Teams,Twitter followers in thousands
New York Yankees,3400
Chicago Cubs,2560
Toronto Blue Jays,2260
Los Angeles Dodgers,2140
Boston Red Sox,2120
Philadelphia Phillies,1840
San Francisco Giants,1770
Houston Astros,1480
Detroit Tigers,1460
Texas Rangers,1430
Atlanta Braves,1280
St. Louis Cardinals,1220
Los Angeles Angels,1090
New York Mets,1060
Kansas City Royals,1060
Cleveland Indians,1050
Chicago White Sox,918
Cincinnati Reds,846
Baltimore Orioles,789
Pittsburgh Pirates,749
Washington Nationals,704
Minnesota Twins,628
Milwaukee Brewers,610
Arizona Diamondbacks,585
Colorado Rockies,571
Seattle Mariners,564
Oakland Athletics,557
Tampa Bay Rays,552
San Diego Padres,407
Miami Marlins,337
