Month,Market share
Dec 19,5.84%
Nov 19,6%
Oct 19,5.29%
Sep 19,3.71%
Aug 19,9.79%
Jul 19,6.57%
Jun 19,6.36%
May 19,6.85%
Apr 19,7.73%
Mar 19,6.14%
Feb 19,6.24%
Jan 19,5.36%
Dec 18,4.38%
Nov 18,4.31%
Oct 18,4.22%
Sep 18,4.07%
Aug 18,8.06%
Jul 18,8.21%
Jun 18,6.18%
May 18,7.1%
Apr 18,7.82%
Mar 18,6.32%
Feb 18,7.6%
Jan 18,7.22%
Dec 17,7%
Nov 17,7.38%
Oct 17,8.66%
Sep 17,6.95%
Aug 17,8.24%
Jul 17,7.96%
Jun 17,6.19%
May 17,7.39%
Apr 17,8.61%
Mar 17,5.49%
Feb 17,6.3%
Jan 17,6.69%
Dec 16,6.36%
Nov 16,7.02%
Oct 16,8.14%
Sep 16,6.62%
Aug 16,7.59%
Jul 16,6.49%
