Month,Units sold
Dec 19,1833
Nov 19,1605
Oct 19,1582
Sep 19,4765
Aug 19,881
Jul 19,1475
Jun 19,2404
May 19,2497
Apr 19,1892
Mar 19,8325
Feb 19,955
Jan 19,1676
Dec 18,1977
Nov 18,2530
Oct 18,1963
Sep 18,5851
Aug 18,1099
Jul 18,2286
Jun 18,3613
May 18,2623
Apr 18,2166
Mar 18,8524
Feb 18,1306
Jan 18,1714
Dec 17,1645
Nov 17,1914
Oct 17,2463
Sep 17,6540
Aug 17,1283
Jul 17,1935
Jun 17,5062
May 17,4075
Apr 17,1981
Mar 17,12930
Feb 17,1426
Jan 17,3221
Dec 16,3929
Nov 16,3387
Oct 16,3397
Sep 16,11319
Aug 16,1719
Jul 16,3506
