Quarter,Balance in billion U.S. dollars
Q3 '19,-157.36
Q2 '19,-159.11
Q1 '19,-156.47
Q4 '18,-171.15
Q3 '18,-163.42
Q2 '18,-140.0
Q1 '18,-153.11
Q4 '17,-144.97
Q3 '17,-131.42
Q2 '17,-139.68
Q1 '17,-134.05
Q4 '16,-132.11
Q3 '16,-122.09
Q2 '16,-123.15
Q1 '16,-125.63
Q4 '15,-123.24
Q3 '15,-127.45
Q2 '15,-122.09
Q1 '15,-125.74
Q4 '14,-124.21
Q3 '14,-120.23
Q2 '14,-124.6
Q1 '14,-120.55
Q4 '13,-107.48
Q3 '13,-117.43
Q2 '13,-117.17
Q1 '13,-119.07
Q4 '12,-127.86
Q3 '12,-127.98
Q2 '12,-136.73
Q1 '12,-144.84
Q4 '11,-141.15
Q3 '11,-134.67
Q2 '11,-138.84
Q1 '11,-135.04
Q4 '10,-118.59
Q3 '10,-129.56
Q2 '10,-128.81
Q1 '10,-118.27
