Year,Inflation rate compared to previous year
2024*,3.97%
2023*,3.97%
2022*,3.97%
2021*,3.95%
2020*,4.12%
2019*,1.85%
2018,3.56%
2017,3.28%
2016,1.61%
2015,0.84%
2014,3%
2013,4.83%
2012,3.7%
2011,8.46%
2010,6.33%
2009,1.44%
2008,10.64%
2007,6.14%
2006,7.57%
2005,4.19%
2004,51.46%
2003,27.45%
2002,5.22%
2001,8.88%
2000,7.22%
1999,6.97%
1998,4.83%
1997,8.3%
1996,5.4%
1995,12.54%
1994,8.26%
1993,5.25%
1992,4.26%
1991,47.08%
1990,50.46%
1989,40.66%
1988,43.86%
1987,13.55%
1986,7.64%
1985,45.34%
1984,20.15%
