Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",231.43
"Mining, quarrying, and oil and gas extraction",229.65
Manufacturing,228.58
Professional and business services,197.25
Government and government enterprises,161.01
Wholesale trade,128.36
"Educational services, health care, and social assistance",112.62
Retail trade,96.6
Information,73.45
Construction,72.32
Transportation and warehousing,56.18
"Arts, entertainment, recreation, accommodation, and food services",53.6
Utilities,26.47
"Agriculture, forestry, fishing, and hunting",12.58
