Year,Gross domestic product in billion U.S. dollars
2024*,608.11
2023*,586.03
2022*,566.38
2021*,547.87
2020*,529.55
2019*,517.61
2018,532.27
2017,495.95
2016,469.87
2015,456.17
2014,531.65
2013,521.09
2012,498.16
2011,527.49
2010,484.45
2009,485.78
2008,521.08
2007,472.48
2006,410.16
2005,387.99
2004,371.28
2003,319.55
2002,259.66
2001,238.0
2000,238.56
1999,260.54
1998,260.95
1997,255.13
1996,281.45
1995,289.84
1994,239.9
1993,219.89
1992,229.96
1991,206.47
1990,201.22
1989,160.67
1988,158.94
1987,146.19
1986,117.69
1985,84.92
1984,81.67
