Year,GDP per capita in U.S. dollars
2024*,35572.01
2023*,34267.61
2022*,33092.26
2021*,31937.23
2020*,30734.12
2019*,29961.11
2018,30733.17
2017,28381.06
2016,26681.57
2015,25849.69
2014,29686.72
2013,29237.72
2012,28583.74
2011,31868.86
2010,30803.47
2009,32412.77
2008,35725.35
2007,32748.09
2006,28530.04
2005,26547.91
2004,24981.31
2003,21528.29
2002,17075.47
2001,15365.8
2000,14721.7
1999,15774.44
1998,15418.91
1997,14746.42
1996,16055.97
1995,15437.36
1994,13386.46
1993,13376.56
1992,15973.58
1991,14661.18
1990,13649.28
1989,10540.02
1988,9574.95
1987,8167.06
1986,6461.29
1985,4683.16
1984,4460.6
