Month,Number of yards
Jerry Rice (1985-2004),22895
Larry Fitzgerald (2004-2020),17083
Terrell Owens (1996-2010),15934
Randy Moss (1998-2012),15292
Isaac Bruce (1994-2009),15208
Tony Gonzalez (1997-2013),15127
Tim Brown 1988-2004),14934
Steve Smith (2001-2016),14731
Marvin Harrison (1996-2008),14580
Reggie Wayne (2001-2014),14345
Andre Johnson (2003-2016),14185
James Lofton (1978-1993),14004
Cris Carter (1987-2002),13899
Anquan Boldin (2003-2016),13779
Henry Ellard (1983-1998),13777
Torry Holt (1999-2009),13382
Andre Reed (1985-2000),13198
Steve Largent (1976-1989),13089
Jason Witten (2003-2020),12977
Irving Fryar (1984-2000),12785
