Year,Inflation rate compared to previous year
2024*,4%
2023*,4%
2022*,3.9%
2021*,3.8%
2020*,3.75%
2019*,3.6%
2018,3.54%
2017,3.52%
2016,2.67%
2015,0.63%
2014,4.09%
2013,6.6%
2012,9.1%
2011,18.67%
2010,9.21%
2009,6.72%
2008,23.12%
2007,8.35%
2006,7.5%
2005,8.39%
2004,7.89%
2003,3.3%
2002,4.08%
2001,-0.31%
2000,-1.77%
1999,4.11%
1998,8.11%
1997,3.1%
1996,5.59%
1995,16.93%
1994,9.49%
1993,8.38%
1992,37.71%
1991,81.82%
1990,36.03%
1989,95.77%
1988,374.35%
1987,360.36%
1986,453.54%
1985,91.6%
1984,64.9%
