Teams,Average player salary in million U.S. dollars
Los Angeles Kings,3.54
Minnesota Wild,3.51
Pittsburgh Penguins,3.24
Winnipeg Jets,3.23
Nashville Predators,3.23
Calgary Flames,3.15
St Louis Blues,3.08
San Jose Sharks,3.07
Buffalo Sabres,3.02
Washington Capitals,2.99
Philadelphia Flyers,2.99
Florida Panthers,2.98
Colorado Avalanche,2.93
New York Rangers,2.92
Detroit Red Wings,2.91
Tampa Bay Lightning,2.89
Vegas Golden Knights,2.81
New York Islanders,2.8
Anaheim Ducks,2.71
Dallas Stars,2.7
Columbus Blue Jackets,2.63
Boston Bruins,2.52
Carolina Hurricanes,2.49
Chicago Blackhawks,2.48
Ottawa Senators,2.46
Edmonton Oilers,2.44
New Jersey Devils,2.42
Arizona Coyotes,2.36
Montreal Canadiens,2.19
Vancouver Canucks,2.08
Toronto Maple Leafs,1.54
