Quarter,Exports in billion U.S. dollars
Q3 '19,625.79
Q2 '19,626.95
Q1 '19,626.97
Q4 '18,623.76
Q3 '18,626.24
Q2 '18,633.19
Q1 '18,618.12
Q4 '17,608.92
Q3 '17,588.48
Q2 '17,578.04
Q1 '17,577.11
Q4 '16,563.69
Q3 '16,562.72
Q2 '16,550.03
Q1 '16,539.4
Q4 '15,553.37
Q3 '15,565.4
Q2 '15,574.84
Q1 '15,573.08
Q4 '14,595.01
Q3 '14,598.3
Q2 '14,596.77
Q1 '14,586.58
Q4 '13,584.68
Q3 '13,571.86
Q2 '13,569.85
Q1 '13,567.8
Q4 '12,558.24
Q3 '12,555.81
Q2 '12,555.34
Q1 '12,548.96
Q4 '11,542.11
Q3 '11,542.27
Q2 '11,530.56
Q1 '11,511.02
Q4 '10,494.54
Q3 '10,468.16
Q2 '10,452.32
Q1 '10,438.02
