Year,Inflation rate compared to previous year
2024*,5%
2023*,5%
2022*,5%
2021*,5%
2020*,4.5%
2019*,4.1%
2018,4.27%
2017,6.58%
2016,3.99%
2015,2.24%
2014,2.76%
2013,6.94%
2012,7.54%
2011,6.72%
2010,6.25%
2009,3.43%
2008,9.64%
2007,15.84%
2006,10.02%
2005,10.98%
2004,9.01%
2003,8.97%
2002,9.55%
2001,14.16%
2000,6.18%
1999,4.69%
1998,9.37%
1997,9.57%
1996,15.94%
1995,7.68%
1994,8.45%
1993,11.75%
1992,11.38%
1991,12.19%
1990,21.5%
1989,11.57%
1988,13.99%
1987,7.72%
1986,7.98%
1985,1.48%
1984,16.64%
