Month,Units sold
Dec 19,2767
Nov 19,1348
Oct 19,1219
Sep 19,3812
Aug 19,2092
Jul 19,3490
Jun 19,3159
May 19,3171
Apr 19,2027
Mar 19,6224
Feb 19,2750
Jan 19,3006
Dec 18,2154
Nov 18,2119
Oct 18,1896
Sep 18,3031
Aug 18,4336
Jul 18,4519
Jun 18,3903
May 18,3117
Apr 18,2121
Mar 18,6466
Feb 18,1552
Jan 18,3305
Dec 17,2329
Nov 17,2526
Oct 17,1803
Sep 17,7319
Aug 17,1758
Jul 17,2791
Jun 17,3486
May 17,2722
Apr 17,1658
Mar 17,8602
Feb 17,1587
Jan 17,3762
Dec 16,2264
Nov 16,2347
Oct 16,1963
Sep 16,7380
Aug 16,1384
Jul 16,2885
