Month,World Ranking Points
Ashleigh Barty,8387
Simona Halep,6076
Karolína Plíšková,5200
Bianca Andreescu,4665
Sofia Kenin,4490
Kiki Bertens,4335
Elina Svitolina,4301
Serena Williams,3915
Belinda Bencic,3875
Naomi Osaka,3625
Petra Kvitová,2981
Madison Keys,2962
Aryna Sabalenka,2815
Petra Martić,2770
Johanna Konta,2753
Garbiñe Muguruza,2522
Elena Rybakina,2416
Markéta Vondroušová,2306
Alison Riske,2270
Maria Sakkari,2085
Angelique Kerber,2040
Anett Kontaveit,1980
Elise Mertens,1950
Donna Vekić,1935
Dayana Yastremska,1785
Ekaterina Alexandrova,1775
Karolína Muchová,1753
Qiang Wang,1733
Amanda Anisimova,1613
Anastasia Pavlyuchenkova,1540
Shuai Zhang,1475
Yulia Putintseva,1475
Magda Linette,1472
Barbora Strýcová,1471
Sloane Stephens,1453
Julia Görges,1423
Caroline Wozniacki,1463
Saisai Zheng,1380
Veronika Kudermetova,1373
Kristina Mladenovic,1335
Anastasija Sevastova,1288
Jeļena Ostapenko,1256
Polona Hercog,1205
Rebecca Peterson,1195
Ons Jabeur,1185
Jennifer Brady,1179
Svetlana Kuznetsova,1178
Caroline Garcia,1145
Danielle Collins,1115
Cori Gauff,1082
Iga Świątek,1079
